,0,1,2,3,4
0,aizu_BL-01_12,2016-10-16 04:23:38.764,7.623204806371234,37.203802,139.774495
1,aizu_BL-01_12,2016-10-16 04:23:40.774,7.157339172491049,37.203244,139.773028
2,aizu_BL-01_12,2016-10-16 04:23:42.774,6.861111601502671,37.203388000000004,139.773424
3,aizu_BL-01_12,2016-10-16 04:23:44.764,6.715752612726874,37.203458000000005,139.773617
4,aizu_BL-01_12,2016-10-16 04:23:46.764,7.096548126577545,37.203457,139.77361299999998
5,aizu_BL-01_12,2016-10-16 04:23:48.764,10.595913567671232,37.203453,139.77361499999998
6,aizu_BL-01_12,2016-10-16 04:23:50.764,11.417384467406237,37.203453,139.77361499999998
7,aizu_BL-01_12,2016-10-16 04:23:52.764,9.755582710265628,37.203453,139.77361499999998
8,aizu_BL-01_12,2016-10-16 04:23:54.764,8.860196830937639,37.203453,139.77361499999998
9,aizu_BL-01_12,2016-10-16 04:23:57.764,8.076629319545248,37.203453,139.77361499999998
10,aizu_BL-01_12,2016-10-16 04:24:03.164,7.6679884805917595,37.203453,139.77361499999998
11,aizu_BL-01_12,2016-10-16 04:24:05.264,8.251942162605758,37.203453,139.77361499999998
12,aizu_BL-01_12,2016-10-16 04:24:07.464,9.394266272971663,37.203453,139.77361499999998
13,aizu_BL-01_12,2016-10-16 04:24:10.664,10.236253089402055,37.203453,139.77361499999998
14,aizu_BL-01_12,2016-10-16 04:24:12.664,10.249554534828405,37.203453,139.77361499999998
15,aizu_BL-01_12,2016-10-16 04:24:14.664,10.47574264999298,37.203453,139.77361499999998
16,aizu_BL-01_12,2016-10-16 04:24:16.664,10.24345060802466,37.203416,139.77351299999998
17,aizu_BL-01_12,2016-10-16 04:24:18.664,11.922703998301643,37.203390999999996,139.773479
18,aizu_BL-01_12,2016-10-16 04:24:20.664,13.658254365977939,37.203383,139.77346699999998
19,aizu_BL-01_12,2016-10-16 04:24:22.664,11.588079832520691,37.203383,139.77346699999998
20,aizu_BL-01_12,2016-10-16 04:24:24.664,11.515980401323759,37.203383,139.77346699999998
21,aizu_BL-01_12,2016-10-16 04:24:26.674,13.750175950805499,37.203383,139.77346699999998
22,aizu_BL-01_12,2016-10-16 04:24:28.664,15.756504886566347,37.203383,139.77346699999998
23,aizu_BL-01_12,2016-10-16 04:24:30.664,16.300427477747007,37.203383,139.77346699999998
24,aizu_BL-01_12,2016-10-16 04:24:32.664,16.148203090360994,37.203383,139.77346699999998
