,0,1,2,3
0,882.8587029375522,37.492258,139.941054,2017-02-19 23:49:28.249
1,517.3170161532798,37.492221,139.94116699999998,2017-02-19 23:49:30.248
2,718.1696239164012,37.49222,139.941271,2017-02-19 23:49:32.247
3,517.336972014924,37.492153,139.941339,2017-02-19 23:49:34.246
4,605.8633777883515,37.492149,139.94139199999998,2017-02-19 23:49:36.245
5,398.754480608055,37.492139,139.94143300000002,2017-02-19 23:49:38.249
6,19.615854273652985,37.492128,139.941475,2017-02-19 23:49:40.248
7,11.599838130918272,37.492126,139.941485,2017-02-19 23:49:42.247
8,12.945829109308363,37.492108,139.94145,2017-02-19 23:49:44.246
9,9.169355039347465,37.492102,139.94143300000002,2017-02-19 23:49:46.245
10,10.356010012774789,37.492094,139.941419,2017-02-19 23:49:48.249
11,8.98068702299588,37.492094,139.94141399999998,2017-02-19 23:49:50.249
12,9.237579056849654,37.492096000000004,139.941404,2017-02-19 23:49:52.248
13,11.317667560670145,37.492096000000004,139.9414,2017-02-19 23:49:54.247
14,10.387863025712306,37.492096000000004,139.941399,2017-02-19 23:49:56.246
15,9.771875546859746,37.492096000000004,139.941398,2017-02-19 23:49:58.245
16,9.686139205484835,37.492098999999996,139.941402,2017-02-19 23:50:00.249
17,10.067729901722089,37.492103,139.941407,2017-02-19 23:50:02.248
18,8.20515426263961,37.492109,139.94141499999998,2017-02-19 23:50:04.247
19,9.652931169660462,37.492115999999996,139.941424,2017-02-19 23:50:06.246
20,9.136348184337294,37.492123,139.94143200000002,2017-02-19 23:50:08.245
21,8.475479955368655,37.492127,139.94143799999998,2017-02-19 23:50:10.249
22,9.254260427395877,37.492129,139.941441,2017-02-19 23:50:12.248
23,9.35873848747201,37.492129999999996,139.941442,2017-02-19 23:50:14.247
24,9.425024021175204,37.492129999999996,139.941442,2017-02-19 23:50:16.246
25,9.01543038285331,37.492131,139.941442,2017-02-19 23:50:18.245
26,9.2030853684019,37.492131,139.941442,2017-02-19 23:50:20.249
27,8.77311852018488,37.492131,139.941442,2017-02-19 23:50:22.248
28,8.979078068323588,37.492131,139.941442,2017-02-19 23:50:24.248
29,9.23215958374044,37.492131,139.941442,2017-02-19 23:50:26.247
30,7.300320327087547,37.492131,139.941442,2017-02-19 23:50:28.246
31,9.048393278386357,37.492131,139.941442,2017-02-19 23:50:30.245
32,8.567232964780999,37.492131,139.941442,2017-02-19 23:50:32.249
33,10.189901514081612,37.492131,139.941441,2017-02-19 23:50:34.248
34,11.549533010052983,37.492131,139.941441,2017-02-19 23:50:36.247
35,8.040679521607728,37.492131,139.941441,2017-02-19 23:50:38.246
36,7.757533604881473,37.492132,139.941441,2017-02-19 23:50:40.245
37,8.531681109252531,37.492132,139.941441,2017-02-19 23:50:42.249
38,10.51372164514396,37.492132,139.941441,2017-02-19 23:50:44.248
39,11.761253460820683,37.492132,139.941441,2017-02-19 23:50:46.247
40,13.87430814291298,37.492132,139.941442,2017-02-19 23:50:48.246
41,12.059099671711238,37.492132,139.941443,2017-02-19 23:50:50.245
42,15.209143450398699,37.492132,139.941443,2017-02-19 23:50:52.249
43,20.86986816862577,37.492132,139.941444,2017-02-19 23:50:54.248
44,16.307882596831632,37.492133,139.941444,2017-02-19 23:50:56.247
45,11.692508166429946,37.492133,139.941445,2017-02-19 23:50:58.247
46,38.60879137759275,37.492133,139.941445,2017-02-19 23:51:00.246
47,342.9887920490037,37.492133,139.941445,2017-02-19 23:51:02.245
48,790.9511460093236,37.492132,139.94145,2017-02-19 23:51:04.249
49,717.8615391263738,37.492121999999995,139.94148700000002,2017-02-19 23:51:06.248
50,585.8583838497907,37.492106,139.94156999999998,2017-02-19 23:51:08.247
51,375.95617359853713,37.492102,139.941668,2017-02-19 23:51:10.246
52,242.9339930544702,37.492149,139.941742,2017-02-19 23:51:12.245
53,918.1802281231248,37.492311,139.941775,2017-02-19 23:51:14.249
54,883.9732443196735,37.492442,139.94181899999998,2017-02-19 23:51:16.248
55,137.0205081571803,37.492611,139.94186100000002,2017-02-19 23:51:18.247
56,505.574652033396,37.492782,139.941894,2017-02-19 23:51:20.246
57,470.8291097871406,37.492928000000006,139.94194299999998,2017-02-19 23:51:22.245
58,58.824797705261744,37.493037,139.941969,2017-02-19 23:51:24.249
59,35.28379894894988,37.493125,139.941987,2017-02-19 23:51:26.248
60,16.234610805667216,37.493187,139.942004,2017-02-19 23:51:28.248
61,11.738099236964047,37.493215,139.942019,2017-02-19 23:51:30.247
62,10.141888968882995,37.493228,139.942022,2017-02-19 23:51:32.246
63,11.850028974022507,37.49324,139.942022,2017-02-19 23:51:34.245
64,11.180563613998004,37.49325,139.94202099999998,2017-02-19 23:51:36.249
65,9.93221665201105,37.49325,139.94202099999998,2017-02-19 23:51:38.248
66,8.809349126168854,37.493241999999995,139.94201999999999,2017-02-19 23:51:40.247
67,6.8519756088181225,37.493247,139.94201999999999,2017-02-19 23:51:42.246
68,10.776838186541283,37.493248,139.94202099999998,2017-02-19 23:51:44.245
69,12.635981199026958,37.493248,139.942018,2017-02-19 23:51:46.249
70,14.705564906620566,37.493261,139.942019,2017-02-19 23:51:48.248
71,13.852557255182774,37.493272999999995,139.94202099999998,2017-02-19 23:51:50.247
72,15.118993246723278,37.493278000000004,139.942019,2017-02-19 23:51:52.246
73,19.80847409476064,37.493286,139.94202099999998,2017-02-19 23:51:54.245
74,69.55439359653974,37.493297999999996,139.942022,2017-02-19 23:51:56.249
75,108.84171014095864,37.493321,139.942026,2017-02-19 23:51:58.248
